place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
62066863,"Olleung Royal Tomb, Yangju",5.0,https://ak-d.tripcdn.com/images/01027120008azsnb96E2E.png,Yangju,['Historical Sites'],GCJ02,37.720215,126.951093,"Iryeong-ri, Jangheung-myeon, Yangju-si, Gyeonggi-do, South Korea",No Description
95997350,Cheongdam Baesuji Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Seoul,"['City Parks', 'Nighttime sightseeing']",GCJ02,37.521042,127.061463,"79-1, Samseong-dong, Gangnam-gu, Seoul",No Description
142477655,Seoul National University Kyujanggak Exhibit,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/09/Cghzf1W7IBCAU1soAAA1rXNRb5g042.jpg,Seoul,['Exhibition Halls'],GCJ02,37.462108,126.950265,"103동, 1 Gwanak-ro, Gwanak-gu, Seoul",No Description
147080058,CGV 고양행신,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Goyang-si,,GCJ02,37.613612,126.834505,"8 Chungjang-ro, Deogyang-gu, Goyang-si, Gyeonggi-do",No Description
148811326,Hanyang Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.503934,127.11543,"Songpa-dong, Songpa District, Seoul",No Description
62051139,Seowoon Garden & Forest,0.0,https://ak-d.tripcdn.com/images/0ww3h12000cp10hp4AE44.jpg,Pocheon-si,['City Parks'],GCJ02,37.772136,127.203516,"237 Naejin-ro 9beon-gil, Naechon-myeon, Pocheon-si, Gyeonggi-do, South Korea",No Description
146744544,Anam change saunas,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.585514,127.030593,"South Korea, Seoul, Seongbuk-gu, Anam-dong 5(o)-ga, 인촌로28길 16",No Description
149290079,Connecting Bodies: Asian Woman Artists,0.0,https://ak-d.tripcdn.com/images/0107212000g94gy062CF0.jpg,Seoul,['Exhibitions'],GCJ02,37.578833,126.980428,"National Museum of Modern and Contemporary Art, Korea","Connected Bodies: Asian Women Artists (hereinafter referred to as Connected Bodies) aims to re-examine the contemporary significance of Asian women's art since the 1960s from the perspective of ""bodily nature"". This exhibition is part of the National Gallery of Modern Art's Asian Art Project, which crosses borders to conduct comparative research and display contemporary Asian art. The body is a place where various ideologies and situations meet, and where differences and diversity emerge. In order to think about this theme together, the exhibition brings together about 130 works by female artists from 11 countries in Asia."
95955171,Dangjeong Neighborhood Park,5.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Gunpo-si,['City Parks'],GCJ02,37.3442,126.947284,"Dangjeong-dong, Gunpo-si, Gyeonggi-do",No Description
142496970,CGV Juan,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M02/AF/63/CghzfFW7IAaAPaqMAAA-wvU2dn8545.jpg,Incheon,['Cinemas'],GCJ02,37.463337,126.680745,"South Korea, Incheon, Michuhol-gu, Juan-dong, Michuhol-daero, 736 9층",No Description
