place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
146564581,North Palm Country Club,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Paju-si,,GCJ02,37.788793,126.911016,"227 Soejangi-gil, Gwangtan-myeon, Paju-si, Gyeonggi-do, South Korea",No Description
143780552,Byeolbit Library,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M01/AF/63/CghzfFW7IASAT10JAAA6hcRCmrA034.jpg,Namyangju-si,['Libraries'],GCJ02,37.650925,127.120298,"102 Byeollaejungang-ro, Namyangju-si, Gyeonggi-do",No Description
144002293,현대하이페리온1차,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.527149,126.875036,Seoul,No Description
147426237,Ae Kwan,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Incheon,,GCJ02,37.472268,126.629847,"63-2 Gaehang-ro, Jung-gu, Incheon, South Korea",No Description
146854300,Hanmaeum-sunwon Anyang HQ of the Jogye Order,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Anyang,,GCJ02,37.421579,126.908508,"South Korea, Gyeonggi-do, Anyang-si, Manan-gu, Gyeongsu-daero, 1282 KR 한마음선원",No Description
95997404,Gwanaksan Ecological Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Seoul,['City Parks'],GCJ02,37.46674,126.914701,"Sillim-dong, Gwanak-gu, Seoul, South Korea",No Description
18700194,Gwangtong Bridge,4.4,https://ak-d.tripcdn.com/images/fd/tg/g4/M01/EC/F1/CggYHVZhKJCAUDlqAAETY6oxLEk637.jpg,Seoul,"['Bridges', 'Featured Neighborhoods']",GCJ02,37.569114,126.981165,"55-2 Seorin-dong, Jongno-gu, Seoul, South Korea","Guangtong Bridge is an ancient bridge on the Qingxi River. The Gwangtong Bridge in the Joseon Dynasty was originally an earth bridge and was rebuilt with stone after being washed away by floods. During the restoration of Cheonggyecheon, it was moved upstream in consideration of traffic."
141562390,Okgu Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Siheung-si,['City Parks'],GCJ02,37.355584,126.71239,"2138 Jeongwang-dong, Siheung-si, Gyeonggi-do, South Korea",No Description
142353000,korea club dstar,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.508377,127.036153,"236-9 Nonhyeon-dong, Gangnam-gu, Seoul, South Korea",No Description
146736239,The HANOI Foot & Body Hotel President,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.56563,126.979434,"South Korea, Seoul, Jung-gu, Eulji-ro, 16 프레지던트호텔 지하 1층",No Description
