place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
142669422,Gildong Ecological Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Hanam,,GCJ02,37.541021,127.15621,"산7-3 Gil-dong, Gangdong-gu, Seoul",No Description
137248965,Gwangneungyuwonji,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Namyangju-si,['City Parks'],GCJ02,37.7475,127.175,"Jinjeop-eup, Namyangju-si, South Korea",No Description
147554381,Yeongdeungpo Cultural Center,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.516083,126.912144,"582-3 Yeongdeungpo-dong, Yeongdeungpo-gu, Seoul, South Korea",No Description
146267434,Dongtan Multi-culture Center,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Hwaseong-si,,GCJ02,37.20062,127.075223,"134 Nojak-ro, Dongtan-dong, Hwaseong-si, Gyeonggi-do",No Description
147534550,Decoder,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.552135,126.923888,"3층 88-1, Wausan-ro, Mapo-gu, Seoul, South Korea",No Description
137400632,Wolmi Viewpoint,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Incheon,['Attractions'],GCJ02,37.469589,126.605261,"131-22 Wolmi-ro, 북성동 Jung-gu, Incheon, South Korea",No Description
137210583,Honcheonsigye,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M08/FC/24/CghzflW7IACAHgzUAAAvGcMqieg905.jpg,Seoul,['Historical Sites'],GCJ02,37.589311,127.034352,"1 Anam-dong 1(il)-ga, Seongbuk-gu, Seoul, South Korea",No Description
38707657,ARARIO GALLERY SEOUL,0.0,https://ak-d.tripcdn.com/images/0ww5612000aum4wso60BF.jpg,Seoul,['Art Museums'],GCJ02,37.577831,126.988501,"149-2, Sogyeok-dong, Jongno-gu, Seoul, South Korea",No Description
136785810,Taereung Royal Tombs,5.0,https://ak-d.tripcdn.com/images/ww041e000001expfhE841.png,Seoul,['Historical Sites'],GCJ02,37.634677,127.096879,"681 Hwarang-ro, Gongneung-dong, Nowon-gu, Seoul, South Korea","The tomb of Queen Yoon, the second royal concubine of King Joongjong of Joseon, is located in Hwarang-ro, Awon-gu, Seoul."
146765161,Gwanyang Public Library,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Anyang,,GCJ02,37.410913,126.968093,"124 Dongpyeon-ro, Dongan-gu, Anyang-si, Gyeonggi-do",No Description
