place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
146248790,Seoul Plaza Skating Park,0.0,https://ak-d.tripcdn.com/images/0102012000g5ysz45DD61.png,Seoul,,GCJ02,37.565945,126.978515,"110 Sejong-daero, Euljiro 1(il)-ga, Jung-gu, Seoul, South Korea",No Description
22847734,Bongwonsa Temple,4.5,https://ak-d.tripcdn.com/images/0ww2y12000aul5sr840CE.jpg,Seoul,['Temples'],GCJ02,37.571991,126.947403,"산 1번지 Bongwon-dong, Seodaemun-gu, Seoul, South Korea","This temple located on the side of a small mountain in the middle of central Seoul may not be one of its most famous, but it is one of the most fantastic views, and plays host to the Taegyo order of Korean Buddhism. It's the locations of a beautiful Lotus Festival each summer, when the entire area is filled with blooming water flowers."
142390228,Nowon Light Garden(Gyeongchun Line Hwarangdae Station),5.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/AE/62/CghzgFW7IBCAHuSzAAAx3FcjVOM139.jpg,Seoul,"['City Parks', 'Churches and Cathedrals']",GCJ02,37.624063,127.091819,"29-39 공릉2동 Nowon-gu, Seoul",No Description
13505997,Myeongdong cheonjiyeonbulhan steam room,4.4,https://ak-d.tripcdn.com/images/100s1f000001gx3mx854A.jpg,Seoul,"['Spas', 'Bathhouses']",GCJ02,37.561952,126.986469,"11-1 Chungmuro 2(i)-ga, Jung-gu, Seoul, South Korea",The 600-year-old health magic uses the ingenious combination of stone and loess to cast an arched warm space to use the uniform temperature to care for the body.
137343984,Sevit Island,5.0,https://ak-d.tripcdn.com/images/0ww3612000apj029xE1C2.jpg,Seoul,['Nighttime sightseeing'],GCJ02,37.512458,126.995952,"2085-14, Olympic-daero, Seocho-gu (Banpo-dong), Seoul, Korea",No Description
147171247,24 Grand Aqua & Fitness,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.554744,126.851358,"347 지하 Hwagok-ro, Gangseo-gu, Seoul",No Description
142341115,OLC 광명철산극장,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M02/AF/63/CghzfFW7IAaAPaqMAAA-wvU2dn8545.jpg,Gwangmyeong,['Cinemas'],GCJ02,37.474989,126.86969,"14 Cheolsan-ro 30beon-gil, Cheolsan-dong, Gwangmyeong-si, Gyeonggi-do, South Korea",No Description
22847733,Cheonggyecheon Museum,4.2,https://ak-d.tripcdn.com/images/0ww5312000ci85jt51E51.jpg,Seoul,,GCJ02,37.571227,127.035028,"530 Cheonggyecheon-ro, Seongdong-gu, Seoul, South Korea","The Cheonggyecheon Museum is a museum with permanent exhibition rooms, special exhibition rooms, a small hall for cultural performances, and an education room. Let people understand the history and culture of Cheonggyecheon through old maps, photos, etc."
137210558,Musical Fountain,0.0,https://ak-d.tripcdn.com/images/0101y12000g5yiby19E79.png,Seoul,['City Parks'],GCJ02,37.549505,127.078245,"Gunja-dong, Gwangjin-gu, Seoul",No Description
62063119,Unjeong Lake Park,4.8,https://ak-d.tripcdn.com/images/0ww5212000cf7xwzsF0A6.jpg,Paju-si,['City Parks'],GCJ02,37.719129,126.757419,"1412 Wadong-dong, Paju-si, Gyeonggi-do, South Korea",No Description
