place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
142811507,Running Man Ep.1,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M03/AF/62/CghzfFW7H_eAflbUAABFocp0nk0151.jpg,Seoul,['Theme Parks'],GCJ02,37.572005,126.984201,"41 Insadong 5-gil, Gongpyeong-dong, Jongno-gu, Seoul",No Description
141690239,Megabox Seongsu,0.0,https://ak-d.tripcdn.com/images/0100i12000fs6l13jA209.png,Seoul,['Cinemas'],GCJ02,37.541806,127.045011,"50 Wangsimni-ro, Seongsu-dong 1(il)-ga, Seongdong-gu, Seoul",No Description
137018541,Misari Speedboat Park,5.0,https://ak-d.tripcdn.com/images/0104e12000cessep5FCB9.png,Hanam,['City Parks'],GCJ02,37.553572,127.213229,"505 Misa-daero, Hanam-si, Gyeonggi-do, South Korea",No Description
62064867,Yuldong Park,4.8,https://ak-d.tripcdn.com/images/0103912000992xzu0B63A.png,Seongnam,['City Parks'],GCJ02,37.37748,127.151485,"399 Yul-dong, Bundang-gu, Seongnam-si, Gyeonggi-do, South Korea",No Description
143771193,Gwangmyeong Velodrome,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Gwangmyeong,,GCJ02,37.466878,126.845235,"721 Gwangmyeong-ro, Gwangmyeong-dong, Gwangmyeong-si, Gyeonggi-do, South Korea",No Description
147208844,Anyangcheon Ecological Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.520231,126.879224,"신정2동 Yangcheon-gu, Seoul, South Korea",No Description
146724179,Uniplex,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.581133,127.0037,"64 Daehak-ro 12-gil, Jongno-gu, Seoul",No Description
50633988,Doori Land,5.0,https://ak-d.tripcdn.com/images/010351200098tyr6s3B37.png,Yangju,"['Amusement Parks', 'Theme Parks']",GCJ02,37.724668,126.950429,"120 Gwonnyul-ro, Jangheung-myeon, Yangju-si, Gyeonggi-do, South Korea","DooriLand is an amusement park located in Ilyoung-ri, Jangheung-myeon, Yangju, Gyeonggi-do. The ongoing project is through the redevelopment of the “durireland” that operates around No. 120, Jangheung-myeon, Gyeonggi-do, including children’s play facilities and educational training center facilities. The business of the new operation of the comprehensive cultural center."
142735918,CGV Incheon,0.0,https://ak-d.tripcdn.com/images/0100812000csqpper1188.png,Incheon,['Cinemas'],GCJ02,37.451692,126.701941,"1130 Guwol-dong, Namdong-gu, Incheon",No Description
23508138,Goguryeo Blacksmith Village,5.0,https://ak-d.tripcdn.com/images/0ww6a12000ay1hi8d7AA0.jpg,Guri-si,"['Theme Parks', 'Museums']",GCJ02,37.560539,127.111002,"41 Uminae-gil, Guri-si, Gyeonggi-do, South Korea","The Municipal Koguryo Ruins Museum is located in Acheon-dong, Guri City, Gyeonggi-do. A total of 352 pieces of Goguryeo relics, including earthenware, ironware and documents, were displayed at the site exhibition hall."
