place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
142811694,Ssangmun Neighborhood Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.653303,127.028851,"Ssangmun-dong, Dobong-gu, Seoul",No Description
142961694,CGV Ansan,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M02/AF/63/CghzfFW7IAaAPaqMAAA-wvU2dn8545.jpg,Ansan,['Cinemas'],GCJ02,37.313397,126.831003,"194 Gwangdeok-daero, Gojan-dong, Danwon-gu, Ansan-si, Gyeonggi-do",No Description
141095092,My Land,0.0,https://ak-d.tripcdn.com/images/0104o12000csuuipzB1C6.png,Incheon,['Amusement Parks'],GCJ02,37.474972,126.598742,"7 Wolmi-ro 234beon-gil, 북성동 Jung-gu, Incheon, South Korea",No Description
142583475,"Lotte Cinema, Paju Outlet",0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M02/AF/63/CghzfFW7IAaAPaqMAAA-wvU2dn8545.jpg,Paju-si,['Cinemas'],GCJ02,37.718023,126.692546,"284 Munbal-ro, Munbal-dong, Paju-si, Gyeonggi-do",No Description
147099922,Yonsei University Allen Hall,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.564373,126.94234,"50 Yonsei-ro, Sinchon-dong, Seodaemun-gu, Seoul, South Korea",No Description
147623255,F45 Training Gwanghwamun,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.574432,126.97352,"28 Saemunan-ro 5ga-gil, Jongno-gu, Seoul, South Korea",No Description
95955580,Gwanggyo Park,4.8,https://ak-d.tripcdn.com/images/0102412000992xjivEE96.png,Suwon,['City Parks'],GCJ02,37.301624,127.030139,"1-1 Yeonmu-dong, Jangan-gu, Suwon, Gyeonggi-do, South Korea",No Description
146458020,LW Convention,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Seoul,,GCJ02,37.560777,126.968213,"Seoul, Jung-gu, Cheongpa-ro, 464 브라운스톤",No Description
95997499,Seokgye Station Culture Park,0.0,https://ak-d.tripcdn.com/images/0106z12000993i6yqC52F.png,Seoul,['City Parks'],GCJ02,37.615225,127.063932,"Wolgye-dong, Nowon-gu, Seoul",No Description
137172550,Neulsol-gil Park Sheep Farm,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Incheon,['City Parks'],GCJ02,37.395857,126.720482,"974-10 논현고잔동 Namdong-gu, Incheon, South Korea",No Description
