place_id,place_name,comm_score,cover_image_url,location,tag_list,coordinate_type,latitude,longitude,address,description
146428194,Gyeonggi Children's Museum,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M06/FC/24/CghzflW7H_iATdynAAA-FlXAIeA738.jpg,Yongin-si,,GCJ02,37.26734,127.109795,"6 Sanggal-ro, Giheung-gu, Yongin-si, Gyeonggi-do, South Korea",No Description
142802118,LOTTE Cinema_Ansan,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M02/AF/63/CghzfFW7IAaAPaqMAAA-wvU2dn8545.jpg,Ansan,['Cinemas'],GCJ02,37.318005,126.84622,"422 Hanggaul-ro, Songpcho-dong, Sangnok-gu, Ansan-si, Gyeonggi-do",No Description
95997718,Sungin Neighborhood Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Seoul,['City Parks'],GCJ02,37.578147,127.017608,"58, Sungin-dong, Jongno-gu, Seoul 150, Dongmangsan-gil, Jongno-gu, Seoul",No Description
146951620,아쿠아아레나50,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Namyangju-si,,GCJ02,37.654976,127.126977,"313 Sunhwagung-ro, Namyangju-si, Gyeonggi-do, South Korea",No Description
24652209,Geunjeongjeon,4.3,https://ak-d.tripcdn.com/images/01031120009i0d2qm6C87.jpg,Seoul,['Historical Architectures'],GCJ02,37.578564,126.976954,"37 Samcheong-ro, Jongno 1(il).2(i).3(sam).4(sa), Jongno-gu, Seoul, South Korea","Geunjeongjeon Hall, as the No. 223 National Treasure of South Korea, was built in the third year of King Taejo of the Joseon Dynasty. The head of the hall."
141789913,LOTTE CINEMA Uijeongbu Minrak,0.0,https://ak-d.tripcdn.com/images/fd/tg/g1/M02/AF/63/CghzfFW7IAaAPaqMAAA-wvU2dn8545.jpg,Uijeongbu,['Cinemas'],GCJ02,37.744243,127.096349,"44 Cheonbo-ro, Uijeongbu-si, Gyeonggi-do, South Korea",No Description
146604152,Woodstock Shinchon (since 1992),0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Seoul,,GCJ02,37.557979,126.935319,"28-8 Yonsei-ro 7-gil, Seodaemun-gu, Seoul, South Korea",No Description
147613536,Lotte Cinema Byeollae,0.0,https://ak-d.tripcdn.com/images/0102u1200086k28vc0A5C.jpg,Namyangju-si,,GCJ02,37.644517,127.12758,"10 Byeollaejungang-ro, Namyangju-si, Gyeonggi-do",No Description
137267831,Misa Lake Park,0.0,https://ak-d.tripcdn.com/images/fd/tg/g2/M02/C5/07/Cghzf1W7H_mAOouUAAA0-J5t66I153.jpg,Hanam,['City Parks'],GCJ02,37.562954,127.187596,"South Korea, Gyeonggi-do, Hanam-si, Mangwol-dong, 746-11 KR",No Description
38593664,"Hwahong Gate (Hwahongmun, Buksumun)",4.8,https://ak-d.tripcdn.com/images/0ww4m12000aum720j1AA6.jpg,Suwon,['Historical Sites'],GCJ02,37.28746,127.017606,"South Korea, 경기도 수원시 팔달구 북수동 33-4",No Description
